name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Dragapult,2019-11,Corviknight +,3.780,Darmanitan-Galar +,3.366,Excadrill +,2.897,Rotom-Wash +,1.534,Ribombee +,1.352,Tyranitar +,1.201,Pincurchin +,0.613,,,,,,,,,,
Darmanitan-Galar,2019-11,Dragapult +,3.389,Rotom-Wash +,2.533,Mandibuzz +,1.679,Gyarados +,1.518,Corsola-Galar +,1.333,Ditto +,0.838,Charizard +,0.643,Toxtricity +,0.503,,,,,,,,
Ditto,2019-11,Corviknight +,7.017,Clefable +,6.182,Toxapex +,3.551,Seismitoad +,1.647,Mandibuzz +,1.567,Hawlucha +,1.522,Darmanitan-Galar +,1.086,Gyarados +,0.855,Rotom-Heat +,0.833,Dugtrio +,0.609,Hydreigon +,0.539,,
Excadrill,2019-11,Tyranitar +,11.283,Gyarados +,10.273,Rotom-Wash +,9.000,Dragapult +,3.218,Ribombee +,2.421,Hawlucha +,2.303,Mimikyu +,1.312,Pincurchin +,1.292,Bisharp +,1.102,Hippowdon +,0.920,Aegislash +,0.768,Dracozolt +,0.768
Corviknight,2019-11,Clefable +,10.315,Toxapex +,7.252,Ditto +,7.168,Seismitoad +,6.331,Dragapult +,4.285,Hippowdon +,3.155,Hydreigon +,2.159,Rotom-Heat +,1.162,Dugtrio +,0.974,Corsola-Galar +,0.717,Gastrodon +,0.700,Umbreon +,0.523
Ferrothorn,2019-11,Pelipper +,11.807,Barraskewda +,6.377,Dracovish +,5.918,Drednaw +,5.810,Toxapex +,5.606,Mandibuzz +,4.334,Crawdaunt +,2.205,Rotom-Wash +,2.090,Tyranitar +,1.980,Rotom-Heat +,1.659,Mantine +,0.988,Gengar +,0.669
Rotom-Wash,2019-11,Excadrill +,15.215,Tyranitar +,8.032,Darmanitan-Galar +,4.721,Aegislash +,4.019,Ferrothorn +,3.150,Dragapult +,2.961,Mandibuzz +,2.684,Gyarados +,1.354,Conkeldurr +,1.331,Diggersby +,0.925,Hatterene +,0.921,Braviary +,0.799
Gyarados,2019-11,Excadrill +,18.039,Aegislash +,7.950,Mimikyu +,6.286,Bisharp +,5.763,Hydreigon +,5.043,Darmanitan-Galar +,2.892,Toxtricity +,2.809,Mew +,1.487,Ditto +,1.374,Rotom-Wash +,1.335,Pincurchin +,1.220,Gardevoir +,0.923
Hydreigon,2019-11,Clefable +,6.230,Aegislash +,5.555,Gyarados +,5.426,Corviknight +,3.999,Mimikyu +,3.928,Toxapex +,2.853,Hippowdon +,2.817,Toxtricity +,2.603,Bisharp +,1.913,Jellicent +,1.647,Ditto +,1.035,Excadrill +,0.918
Toxapex,2019-11,Corviknight +,13.368,Ferrothorn +,9.225,Ditto +,6.684,Clefable +,6.495,Hippowdon +,5.682,Corsola-Galar +,4.829,Hydreigon +,2.848,Dugtrio +,2.509,Mandibuzz +,2.269,Reuniclus +,1.533,Eldegoss +,1.285,Diggersby +,1.194
Aegislash,2019-11,Gyarados +,9.536,Hydreigon +,6.233,Rotom-Wash +,5.002,Togekiss +,3.243,Ribombee +,3.068,Kommo-o +,2.134,Mew +,1.983,Mamoswine +,1.767,Excadrill +,1.664,Dugtrio +,1.387,Dracozolt +,1.355,Sigilyph +,0.973
