name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Roaring Moon,2022-11,Gholdengo,39.135,Garganacl,20.674,Chien-Pao,19.581,Chi-Yu,16.714,Dondozo,14.648,Tinkaton,12.775,Maushold,10.781,Brute Bonnet,9.068,Flutter Mane,7.595,Iron Bundle,5.785,Iron Moth,5.531,,
Garganacl,2022-11,Chi-Yu,49.286,Magnezone,33.820,Roaring Moon,21.725,Iron Bundle,19.370,Scream Tail,16.628,Brute Bonnet,10.425,Dragapult,8.739,Appletun,5.570,Glimmora,5.449,Great Tusk,3.340,Iron Valiant,2.828,,
Chi-Yu,2022-11,Garganacl,50.911,Magnezone,35.148,Roaring Moon,18.143,Dragapult,9.593,Iron Valiant,8.275,Iron Hands,8.216,Chien-Pao,7.957,Mimikyu,6.915,Great Tusk,6.598,Maushold,5.666,Orthworm,5.247,,
Great Tusk,2022-11,Iron Hands,48.492,Brute Bonnet,48.113,Gholdengo,13.673,Skeledirge,8.977,Dudunsparce,8.774,Chi-Yu,8.697,Corviknight,8.557,Mimikyu,6.383,Cetitan,6.249,Scream Tail,6.179,Cloyster,6.179,,
Brute Bonnet,2022-11,Iron Hands,48.646,Great Tusk,48.377,Garganacl,14.272,Roaring Moon,13.046,Sableye,11.281,Chien-Pao,10.465,Ting-Lu,9.410,Iron Bundle,5.476,Maushold,5.073,Iron Valiant,4.674,Chi-Yu,4.542,,
Iron Hands,2022-11,Great Tusk,49.154,Brute Bonnet,49.042,Chi-Yu,10.977,Orthworm,10.240,Maushold,9.373,Gholdengo,8.297,Iron Moth,7.147,Breloom,6.859,Veluza,6.859,Mimikyu,6.537,Skeledirge,6.226,,
Gholdengo,2022-11,Roaring Moon,57.254,Dondozo,21.471,Tinkaton,17.536,Maushold,16.101,Great Tusk,13.980,Chien-Pao,12.816,Mimikyu,11.724,Iron Hands,8.368,Wo-Chien,7.840,Cetitan,6.389,Iron Valiant,5.815,,
Chien-Pao,2022-11,Roaring Moon,29.448,Flutter Mane,16.819,Maushold,14.172,Gholdengo,13.175,Chi-Yu,11.024,Brute Bonnet,10.939,Iron Bundle,10.791,Dragapult,9.293,Magnezone,8.197,Iron Valiant,8.100,Espathra,7.894,,
Magnezone,2022-11,Chi-Yu,54.284,Garganacl,53.957,Flutter Mane,16.519,Iron Valiant,16.009,Dragonite,14.154,Chien-Pao,9.138,Haxorus,6.104,Azumarill,4.387,Dragapult,4.081,Donphan,3.260,Roaring Moon,3.118,,
Maushold,2022-11,Gholdengo,18.747,Flutter Mane,18.611,Roaring Moon,18.366,Chien-Pao,16.052,Iron Hands,11.008,Chi-Yu,8.892,Armarouge,8.680,Ceruledge,8.430,Iron Moth,6.950,Dragonite,6.258,Brute Bonnet,6.006,,
Flutter Mane,2022-11,Chien-Pao,24.748,Maushold,24.177,Magnezone,21.804,Roaring Moon,16.806,Chi-Yu,9.124,Noivern,8.389,Tauros-Paldea-Water,8.315,Haxorus,7.623,Baxcalibur,6.728,Kingambit,6.256,Houndstone,5.804,,
Dragapult,2022-11,Chi-Yu,20.645,Garganacl,19.427,Iron Valiant,18.488,Iron Bundle,15.460,Chien-Pao,14.435,Appletun,12.374,Corviknight,11.855,Dragalge,9.334,Ceruledge,9.334,Kingambit,7.884,Sylveon,7.668,,
Iron Valiant,2022-11,Magnezone,22.780,Dragonite,21.014,Dragapult,18.880,Chi-Yu,18.186,Iron Moth,16.995,Roaring Moon,13.063,Chien-Pao,12.848,Iron Hands,9.752,Gholdengo,9.482,Sableye,8.283,Brute Bonnet,7.750,,
Iron Bundle,2022-11,Garganacl,46.743,Scream Tail,37.847,Chien-Pao,18.195,Dragapult,16.783,Roaring Moon,14.670,Baxcalibur,10.560,Brute Bonnet,9.653,Flutter Mane,5.605,Maushold,5.260,Iron Treads,5.055,Breloom,4.346,,
Mimikyu,2022-11,Wo-Chien,32.289,Gholdengo,24.247,Chi-Yu,19.275,Dragonite,14.562,Iron Hands,13.636,Great Tusk,13.496,Brute Bonnet,8.802,Garganacl,7.128,Orthworm,6.738,Iron Valiant,6.169,Toxtricity,5.871,,
Ting-Lu,2022-11,Grafaiai,42.522,Sableye,35.668,Breloom,23.005,Brute Bonnet,20.103,Flareon,11.193,Hatterene,11.193,Chi-Yu,7.757,Gallade,7.144,Wo-Chien,5.163,Scream Tail,4.508,Annihilape,4.506,,
Baxcalibur,2022-11,Garchomp,42.673,Sylveon,42.673,Iron Bundle,13.230,Roaring Moon,12.197,Armarouge,10.549,Flutter Mane,9.659,Annihilape,8.686,Kingambit,8.089,Cloyster,8.063,Maushold,7.833,Chi-Yu,5.474,,
Scream Tail,2022-11,Garganacl,52.392,Iron Bundle,49.416,Great Tusk,14.298,Cloyster,14.298,Annihilape,10.272,Lilligant,9.607,Dolliv,9.607,Ting-Lu,4.856,Chien-Pao,4.315,Magnezone,3.835,Skeledirge,3.372,,
Tinkaton,2022-11,Roaring Moon,43.744,Gholdengo,41.043,Tauros-Paldea-Fire,23.990,Bombirdier,23.990,Chien-Pao,16.586,Espathra,13.490,Chi-Yu,6.026,Flutter Mane,3.929,Gengar,3.651,Goodra,3.390,Slaking,3.390,,
Skeledirge,2022-11,Quaquaval,23.118,Meowscarada,23.106,Great Tusk,22.009,Dudunsparce,20.893,Iron Hands,15.058,Bombirdier,11.078,Sandy Shocks,11.078,Chi-Yu,9.543,Avalugg,7.783,Toxicroak,5.473,Iron Bundle,5.166,,
Iron Moth,2022-11,Iron Valiant,27.411,Cetitan,23.562,Roaring Moon,21.282,Iron Hands,18.960,Bellibolt,16.611,Maushold,15.698,Brute Bonnet,11.977,Meowscarada,11.056,Annihilape,8.179,Chien-Pao,6.707,Sableye,5.336,,
Garchomp,2022-11,Sylveon,68.456,Baxcalibur,62.437,Corviknight,12.317,Toxapex,11.472,Gengar,8.632,Maushold,8.544,Magnezone,7.630,Flutter Mane,6.056,Dragapult,2.537,Chien-Pao,1.816,Arboliva,1.503,,
Sableye,2022-11,Ting-Lu,53.998,Brute Bonnet,36.484,Grafaiai,31.381,Iron Valiant,16.156,Roaring Moon,15.909,Garganacl,10.666,Chien-Pao,7.825,Iron Moth,6.454,Mimikyu,6.173,Dragonite,3.418,Magnezone,2.042,,
Dragonite,2022-11,Iron Valiant,41.690,Magnezone,39.958,Mimikyu,22.779,Wo-Chien,22.457,Maushold,17.386,Flutter Mane,9.910,Chien-Pao,6.798,Dondozo,6.062,Ting-Lu,6.062,Iron Moth,5.368,Roaring Moon,4.473,,
Sylveon,2022-11,Garchomp,73.244,Baxcalibur,66.805,Dragapult,16.326,Corviknight,16.326,Flutter Mane,7.047,Maushold,6.474,Weavile,5.021,Chien-Pao,0.805,,,,,,,,
Dondozo,2022-11,Gholdengo,73.705,Roaring Moon,73.560,Tatsugiri,13.642,Zangoose,7.467,Ting-Lu,6.433,Dragonite,6.433,Glimmora,2.406,Bronzong,2.050,Lokix,1.719,Meowscarada,1.522,Iron Moth,1.522,,
Breloom,2022-11,Ting-Lu,40.425,Grafaiai,32.983,Iron Hands,25.542,Veluza,25.542,Iron Bundle,9.256,Dragapult,8.984,Revavroom,7.442,Iron Treads,6.434,Chi-Yu,5.230,Gyarados,5.150,Torkoal,5.150,,
Annihilape,2022-11,Scream Tail,17.736,Baxcalibur,15.629,Slaking,12.351,Gengar,12.351,Iron Moth,12.152,Kingambit,10.506,Cetitan,10.451,Chi-Yu,8.867,Ting-Lu,8.382,Skeledirge,8.118,Chien-Pao,7.210,,
Dudunsparce,2022-11,Eiscue,48.874,Gallade,48.874,Great Tusk,38.890,Skeledirge,37.773,Mimikyu,8.007,Iron Hands,4.741,Wo-Chien,4.724,Iron Treads,1.664,Donphan,1.664,Cetitan,1.443,Maushold,0.905,,
Ceruledge,2022-11,Maushold,31.434,Armarouge,30.029,Dragapult,25.378,Dragalge,25.378,Vivillon,11.135,Azumarill,11.135,Meowscarada,9.262,Chien-Pao,9.106,Clawitzer,8.581,Quaquaval,7.812,Iron Hands,4.641,,
Grafaiai,2022-11,Ting-Lu,88.980,Sableye,43.374,Breloom,39.277,Palafin,6.328,Clodsire,5.772,Iron Bundle,5.772,Iron Valiant,5.232,Maushold,5.232,,,,,,,,
Wo-Chien,2022-11,Mimikyu,73.986,Gholdengo,37.150,Dragonite,32.894,Ting-Lu,11.646,Brute Bonnet,11.646,Roaring Moon,7.104,Dudunsparce,5.163,Maushold,4.430,Iron Bundle,4.159,Iron Valiant,4.041,Chi-Yu,3.065,,
Meowscarada,2022-11,Quaquaval,56.052,Skeledirge,47.233,Iron Moth,20.606,Iron Hands,14.306,Ceruledge,10.457,Revavroom,9.177,Kilowattrel,6.725,Iron Jugulis,4.935,Flutter Mane,4.925,Bellibolt,4.239,Annihilape,4.239,,
Corviknight,2022-11,Great Tusk,46.179,Dragapult,39.189,Sylveon,25.346,Gholdengo,21.561,Garchomp,20.460,Gengar,14.339,Electrode,6.552,Maushold,6.358,Annihilape,3.793,Skeledirge,3.341,Flutter Mane,3.025,,
Armarouge,2022-11,Maushold,39.764,Ceruledge,36.893,Baxcalibur,25.910,Cloyster,19.804,Avalugg,14.593,Drifblim,14.593,Chien-Pao,4.273,Annihilape,4.131,Quaquaval,3.309,Barraskewda,2.495,Noivern,2.495,,
Orthworm,2022-11,Iron Hands,57.270,Chi-Yu,39.206,Roaring Moon,29.559,Espathra,29.363,Mimikyu,18.063,Lokix,5.476,Revavroom,3.248,Garganacl,2.423,Maushold,2.297,Baxcalibur,2.259,,,,
Cetitan,2022-11,Iron Moth,50.434,Gholdengo,35.968,Great Tusk,35.968,Bellibolt,35.378,Annihilape,15.056,Mimikyu,5.423,Kingambit,5.423,Arboliva,2.380,Garchomp,2.380,Dudunsparce,1.874,Clodsire,1.344,,
Gallade,2022-11,Eiscue,72.731,Dudunsparce,66.810,Ting-Lu,20.151,Chi-Yu,20.150,Dunsparce,5.922,Iron Valiant,1.162,Gardevoir,1.161,,,,,,,,,,
Bombirdier,2022-11,Tauros-Paldea-Fire,70.048,Tinkaton,63.501,Sandy Shocks,35.171,Skeledirge,28.624,Breloom,0.796,,,,,,,,,,,,,,
