name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Equilibra,2022-12,Venomicon-Epilogue,74.466,Pyroak,52.218,Arghonaut,51.016,Snaelstrom,51.016,Glimmora,38.250,Iron Valiant,24.332,Garchomp,24.332,Breloom,24.332,Slowking,24.332,Dondozo,23.450,Chromera,23.450,,
Venomicon-Epilogue,2022-12,Equilibra,77.397,Pyroak,53.024,Arghonaut,53.024,Snaelstrom,53.024,Glimmora,39.755,Dondozo,24.373,Chromera,24.373,Baxcalibur,24.373,Hatterene,24.373,Jumbao,22.384,Scovillain,22.384,,
Arghonaut,2022-12,Equilibra,55.491,Pyroak,55.491,Venomicon-Epilogue,55.491,Snaelstrom,55.491,Glimmora,41.605,Venomicon,28.479,Mollux,13.886,Kingambit,13.673,Iron Hands,13.673,Hatterene,13.673,Fidgit,13.673,,
Snaelstrom,2022-12,Equilibra,81.879,Pyroak,81.879,Arghonaut,81.879,Venomicon-Epilogue,81.879,Glimmora,61.390,Mollux,20.489,Grimmsnarl,13.741,Cyclizar,13.741,Quaquaval,13.741,Skeledirge,13.741,Pawmot,13.741,,
Pyroak,2022-12,Equilibra,86.861,Arghonaut,84.861,Venomicon-Epilogue,84.861,Snaelstrom,84.861,Glimmora,69.478,Mollux,22.002,Blissey,5.853,Haxorus,5.853,Stratagem,5.853,Dondozo,5.853,Plasmanta,2.000,,
Chi-Yu,2022-12,Jumbao,58.382,Great Tusk,58.382,Roaring Moon,53.693,Scovillain,37.683,Venomicon-Epilogue,37.683,Venomicon,20.699,Sandy Shocks,20.699,Arghonaut,20.699,Saharaja,19.645,Gholdengo,17.303,Kerfluffle,17.303,,
Glimmora,2022-12,Pyroak,92.925,Equilibra,85.097,Arghonaut,85.097,Venomicon-Epilogue,85.097,Snaelstrom,85.097,Dondozo,7.828,Haxorus,7.828,Blissey,7.828,Stratagem,7.828,,,,,,
Revenankh,2022-12,Dragapult,60.558,Tomohawk,60.558,Grimmsnarl,60.558,Annihilape,60.558,Caribolt,60.558,Kerfluffle,32.845,Gholdengo,23.698,Chi-Yu,23.698,Dragonite,23.698,Saharaja,23.698,Arghonaut,9.147,,
Hatterene,2022-12,Baxcalibur,65.103,Equilibra,65.103,Dondozo,65.103,Chromera,65.103,Venomicon-Epilogue,65.103,Arghonaut,34.897,Fidgit,34.897,Venomicon,34.897,Iron Hands,34.897,Kingambit,34.897,,,,
Dragapult,2022-12,Tomohawk,72.978,Caribolt,72.978,Annihilape,72.978,Grimmsnarl,72.978,Revenankh,72.978,Krilowatt,27.022,Aurumoth,27.022,Syclant,27.022,Arghonaut,27.022,Saharaja,27.022,,,,
Jumbao,2022-12,Chi-Yu,96.522,Great Tusk,96.522,Scovillain,62.301,Venomicon-Epilogue,62.301,Roaring Moon,62.301,Venomicon,34.221,Sandy Shocks,34.221,Arghonaut,34.221,,,,,,,,
Grimmsnarl,2022-12,Tomohawk,73.407,Caribolt,73.407,Dragapult,73.407,Annihilape,73.407,Revenankh,73.407,Cyclizar,24.871,Quaquaval,24.871,Skeledirge,24.871,Pawmot,24.871,Snaelstrom,24.871,,,,
Great Tusk,2022-12,Chi-Yu,100.000,Jumbao,100.000,Scovillain,64.546,Venomicon-Epilogue,64.546,Roaring Moon,64.546,Venomicon,35.454,Sandy Shocks,35.454,Arghonaut,35.454,,,,,,,,
Roaring Moon,2022-12,Chi-Yu,100.000,Jumbao,70.182,Scovillain,70.182,Great Tusk,70.182,Venomicon-Epilogue,70.182,Cawmodore,29.818,Stratagem,29.818,Syclant,29.818,Torkoal,29.818,,,,,,
