name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Flutter Mane,2022-11,Torkoal,37.334,Chi-Yu,34.228,Roaring Moon,26.986,Amoonguss,25.894,Arcanine,19.148,Grimmsnarl,18.032,Great Tusk,15.230,Brute Bonnet,12.051,Chien-Pao,11.906,Indeedee-F,11.621,Garganacl,9.596,,
Torkoal,2022-11,Roaring Moon,45.368,Flutter Mane,44.522,Chi-Yu,30.972,Lilligant,27.557,Great Tusk,19.973,Brute Bonnet,19.251,Indeedee-F,17.235,Grimmsnarl,15.564,Iron Hands,13.730,Talonflame,13.230,Hatterene,9.853,,
Roaring Moon,2022-11,Torkoal,52.272,Flutter Mane,37.079,Chi-Yu,26.204,Lilligant,22.415,Talonflame,19.615,Great Tusk,18.528,Amoonguss,18.496,Grimmsnarl,17.889,Iron Hands,16.058,Indeedee-F,11.086,Bruxish,10.269,,
Chi-Yu,2022-11,Flutter Mane,47.936,Torkoal,36.375,Roaring Moon,26.709,Talonflame,16.181,Lilligant,14.066,Grimmsnarl,13.375,Tatsugiri,12.953,Amoonguss,12.857,Indeedee-F,12.342,Dondozo,12.084,Brute Bonnet,11.505,,
Amoonguss,2022-11,Flutter Mane,40.572,Arcanine,31.689,Roaring Moon,21.093,Grimmsnarl,15.338,Iron Hands,15.110,Chi-Yu,14.384,Gyarados,14.076,Palafin,13.286,Garganacl,12.435,Garchomp,12.287,Torkoal,12.140,,
Grimmsnarl,2022-11,Flutter Mane,34.574,Torkoal,25.025,Roaring Moon,24.964,Amoonguss,18.770,Great Tusk,18.400,Chi-Yu,18.311,Arcanine,17.736,Iron Hands,16.976,Chien-Pao,11.204,Armarouge,10.666,Kingambit,9.429,,
Iron Hands,2022-11,Roaring Moon,24.539,Torkoal,24.174,Amoonguss,20.248,Grimmsnarl,18.589,Palafin,17.881,Gyarados,16.458,Ting-Lu,15.990,Flutter Mane,14.426,Glimmora,13.533,Chi-Yu,13.386,Farigiraf,13.104,,
Tatsugiri,2022-11,Dondozo,86.077,Flamigo,29.250,Chi-Yu,22.420,Flutter Mane,22.148,Chien-Pao,18.300,Dragapult,16.870,Amoonguss,16.058,Grimmsnarl,9.968,Cyclizar,8.745,Palafin,8.690,Garganacl,8.549,,
Arcanine,2022-11,Amoonguss,50.170,Flutter Mane,47.498,Grimmsnarl,22.945,Rotom-Wash,18.147,Roaring Moon,17.125,Garchomp,15.891,Gyarados,14.327,Garganacl,14.039,Iron Bundle,13.443,Ting-Lu,12.121,Scizor,11.090,,
Chien-Pao,2022-11,Flutter Mane,29.846,Dragapult,20.280,Tatsugiri,18.924,Amoonguss,18.349,Dondozo,17.377,Chi-Yu,17.206,Roaring Moon,14.738,Grimmsnarl,14.648,Palafin,14.080,Dragonite,13.881,Sandy Shocks,13.754,,
