name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Misdreavus,2022-11,Pawniard,63.551,Girafarig,57.750,Dunsparce,44.006,Toedscool,39.225,Glimmet,30.919,Rufflet,24.560,Diglett,20.709,Maschiff,20.612,Cetoddle,18.756,Flittle,16.153,Surskit,13.468,,
Girafarig,2022-11,Misdreavus,72.088,Pawniard,60.976,Dunsparce,46.783,Toedscool,40.527,Glimmet,31.100,Rufflet,26.729,Diglett,22.068,Flittle,17.097,Maschiff,17.052,Quaxly,12.420,Surskit,12.173,,
Pawniard,2022-11,Misdreavus,81.749,Girafarig,62.836,Toedscool,47.431,Dunsparce,44.046,Glimmet,25.192,Diglett,24.514,Flittle,21.355,Surskit,19.229,Rufflet,19.080,Cetoddle,12.977,Snover,12.109,,
Dunsparce,2022-11,Misdreavus,73.657,Girafarig,62.731,Pawniard,57.312,Toedscool,46.068,Glimmet,31.756,Flittle,31.669,Rufflet,20.942,Surskit,16.336,Murkrow,12.974,Meditite,12.897,Maschiff,12.781,,
Toedscool,2022-11,Misdreavus,73.831,Pawniard,69.403,Girafarig,61.110,Dunsparce,51.806,Flittle,42.341,Glimmet,37.049,Mankey,13.803,Murkrow,13.620,Diglett,13.194,Meditite,11.765,Rufflet,11.580,,
Glimmet,2022-11,Misdreavus,62.353,Girafarig,50.243,Toedscool,39.693,Pawniard,39.493,Dunsparce,38.260,Meditite,25.867,Rufflet,22.013,Maschiff,19.070,Flittle,18.408,Croagunk,17.189,Diglett,16.998,,
Diglett,2022-11,Misdreavus,49.814,Pawniard,45.841,Girafarig,42.525,Shroodle,25.834,Cetoddle,24.514,Glimmet,20.275,Rufflet,18.595,Gastly,17.034,Snover,16.977,Toedscool,16.861,Larvesta,15.587,,
Cetoddle,2022-11,Misdreavus,60.105,Snover,51.912,Meditite,34.487,Maschiff,32.875,Diglett,32.659,Croagunk,32.647,Pawniard,32.328,Glimmet,26.443,Shroodle,18.691,Quaxly,17.068,Girafarig,15.312,,
Flittle,2022-11,Toedscool,74.828,Dunsparce,62.940,Pawniard,55.224,Misdreavus,53.732,Girafarig,45.563,Glimmet,30.365,Murkrow,23.061,Meditite,20.955,Cetoddle,13.444,Impidimp,12.699,Snover,11.984,,
Rufflet,2022-11,Misdreavus,82.910,Girafarig,72.284,Pawniard,50.072,Dunsparce,42.236,Glimmet,36.849,Maschiff,32.706,Diglett,26.097,Greavard,23.962,Toedscool,20.768,Yungoos,12.195,Tarountula,12.195,,
Maschiff,2022-11,Misdreavus,78.649,Girafarig,52.124,Croagunk,49.263,Cetoddle,39.143,Meditite,39.079,Rufflet,36.968,Glimmet,36.083,Dunsparce,29.136,Greavard,27.084,Diglett,17.534,Gastly,13.762,,
Meditite,2022-11,Misdreavus,60.868,Glimmet,60.500,Cetoddle,50.758,Maschiff,48.305,Croagunk,48.050,Murkrow,41.041,Dunsparce,36.343,Flittle,29.712,Toedscool,29.482,Quaxly,15.070,Girafarig,9.449,,
Croagunk,2022-11,Maschiff,74.162,Misdreavus,58.519,Cetoddle,58.519,Meditite,58.519,Glimmet,48.963,Gastly,30.711,Diglett,21.428,Girafarig,15.643,Toedscool,15.068,Magnemite,15.068,Sandile,15.068,,
Snover,2022-11,Cetoddle,100.000,Pawniard,58.113,Misdreavus,44.599,Diglett,43.570,Shroodle,33.847,Tinkatink,22.675,Flittle,22.239,Varoom,19.364,Dunsparce,19.352,Quaxly,14.514,Girafarig,12.522,,
Surskit,2022-11,Pawniard,92.919,Misdreavus,83.712,Dunsparce,60.667,Girafarig,60.615,Crabrawler,33.152,Toedscool,25.057,Houndour,22.186,Rufflet,21.770,Mudbray,21.688,Diglett,13.580,Maschiff,10.796,,
Quaxly,2022-11,Girafarig,62.365,Misdreavus,59.702,Pawniard,45.577,Glimmet,39.540,Cetoddle,33.383,Dunsparce,31.037,Meditite,20.027,Mankey,14.908,Snover,14.737,Maschiff,14.392,Croagunk,14.360,,
Gastly,2022-11,Girafarig,52.718,Diglett,47.475,Glimmet,46.898,Croagunk,35.842,Toedscool,28.823,Maschiff,24.180,Rufflet,23.990,Pawniard,22.085,Magnemite,17.590,Sandile,17.586,Dunsparce,16.003,,
