name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Flutter Mane,2022-11,Mimikyu,58.699,Dragapult,54.648,Ceruledge,42.150,Froslass,35.847,Annihilape,35.443,Houndstone,33.116,Gengar,31.016,Iron Valiant,26.741,Azumarill,25.525,Skeledirge,24.877,Gholdengo,21.386,,
Iron Bundle,2022-11,Pelipper,55.846,Barraskewda,51.849,Palafin,51.588,Quaquaval,43.549,Chien-Pao,33.619,Baxcalibur,33.181,Avalugg,26.405,Abomasnow,26.168,Toxapex,26.139,Gastrodon,24.449,Quagsire,18.567,,
Dragapult,2022-11,Flutter Mane,83.800,Mimikyu,68.174,Froslass,51.805,Ceruledge,51.747,Gengar,47.427,Annihilape,36.938,Houndstone,32.655,Gholdengo,20.496,Skeledirge,19.245,Polteageist,14.755,Cyclizar,8.749,,
Mimikyu,2022-11,Flutter Mane,95.020,Dragapult,71.968,Froslass,53.545,Ceruledge,52.970,Gengar,47.807,Annihilape,29.089,Houndstone,28.546,Skeledirge,18.389,Gholdengo,17.584,Polteageist,13.722,Iron Valiant,12.595,,
Iron Valiant,2022-11,Azumarill,67.397,Klefki,58.596,Flutter Mane,49.389,Grimmsnarl,44.106,Tinkaton,36.689,Hatterene,28.767,Great Tusk,27.643,Gardevoir,25.132,Scream Tail,18.731,Iron Hands,15.322,Breloom,15.170,,
Froslass,2022-11,Flutter Mane,68.574,Dragapult,64.627,Mimikyu,63.276,Ceruledge,47.256,Gengar,45.141,Chien-Pao,27.348,Abomasnow,26.118,Iron Bundle,24.908,Baxcalibur,23.377,Avalugg,21.498,Houndstone,18.459,,
Pelipper,2022-11,Barraskewda,83.316,Iron Bundle,76.713,Palafin,72.528,Quaquaval,61.825,Toxapex,40.686,Gastrodon,35.006,Quagsire,23.736,Rotom-Wash,12.832,Azumarill,12.563,Tauros-Paldea-Water,12.096,Dondozo,9.741,,
Annihilape,2022-11,Flutter Mane,69.335,Dragapult,47.123,Skeledirge,43.380,Houndstone,43.202,Gholdengo,39.709,Mimikyu,35.154,Ceruledge,32.092,Great Tusk,17.714,Froslass,16.533,Gallade,14.776,Iron Valiant,14.565,,
Klefki,2022-11,Iron Valiant,63.076,Azumarill,61.843,Flutter Mane,41.544,Grimmsnarl,36.639,Tinkaton,36.401,Kingambit,34.407,Corviknight,34.113,Gholdengo,33.501,Scizor,29.970,Forretress,28.711,Gardevoir,26.766,,
Gholdengo,2022-11,Kingambit,48.659,Flutter Mane,42.149,Annihilape,40.004,Corviknight,38.783,Scizor,34.502,Klefki,33.209,Forretress,29.077,Skeledirge,27.763,Dragapult,26.343,Houndstone,26.021,Ceruledge,24.480,,
Ceruledge,2022-11,Flutter Mane,86.271,Dragapult,69.069,Mimikyu,66.974,Gengar,51.750,Froslass,50.561,Annihilape,33.576,Gholdengo,25.422,Houndstone,17.293,Skeledirge,15.294,Brambleghast,10.640,Sableye,8.683,,
Quaquaval,2022-11,Pelipper,66.591,Iron Bundle,64.433,Barraskewda,59.116,Palafin,56.446,Toxapex,32.157,Gastrodon,29.832,Quagsire,23.972,Great Tusk,16.041,Iron Valiant,14.832,Pawmot,13.813,Gallade,9.492,,
