name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Cyclizar,2022-11,Shedinja,47.470,Flutter Mane,16.511,Zamazenta-Crowned,13.781,Tyranitar,11.285,Houndstone,11.021,Great Tusk,9.683,Palafin,9.641,Clodsire,9.346,Blaziken-Mega,9.180,Heatran,9.098,Grimmsnarl,8.942,,
Shedinja,2022-11,Cyclizar,60.207,Clodsire,16.240,Flutter Mane,14.243,Sableye-Mega,12.278,Diancie-Mega,11.194,Toxapex,10.858,Chansey,10.757,Heatran,10.321,Grimmsnarl,10.208,Blaziken-Mega,10.039,Kyurem-Black,8.163,,
Flutter Mane,2022-11,Cyclizar,27.476,Roaring Moon,24.328,Blaziken-Mega,20.672,Shedinja,18.689,Palafin,17.055,Glimmora,15.543,Chien-Pao,15.288,Kyurem-Black,14.260,Great Tusk,13.896,Iron Treads,11.578,Scizor-Mega,11.522,,
Kyurem-Black,2022-11,Blaziken-Mega,26.713,Genesect,26.675,Magearna,23.608,Deoxys-Speed,23.519,Grimmsnarl,17.406,Zamazenta-Crowned,16.557,Flutter Mane,16.541,Shedinja,12.423,Chien-Pao,12.074,Naganadel,10.720,Landorus-Therian,10.251,,
Chien-Pao,2022-11,Flutter Mane,19.401,Roaring Moon,17.279,Cyclizar,15.539,Zamazenta-Crowned,14.863,Kyurem-Black,13.210,Palafin,13.091,Blaziken-Mega,13.020,Deoxys-Speed,11.811,Genesect,10.679,Landorus-Therian,10.411,Grimmsnarl,10.337,,
Roaring Moon,2022-11,Flutter Mane,32.301,Great Tusk,20.197,Chien-Pao,18.078,Corviknight,17.979,Blaziken-Mega,17.253,Cyclizar,16.080,Charizard-Mega-Y,14.274,Palafin,13.402,Zamazenta-Crowned,11.974,Landorus-Therian,10.820,Torkoal,10.468,,
Zamazenta-Crowned,2022-11,Cyclizar,30.616,Palafin,21.689,Kyurem-Black,19.056,Zapdos,17.589,Breloom,15.857,Chien-Pao,15.636,Garchomp,15.518,Mawile-Mega,14.777,Excadrill,14.411,Toxapex,13.909,Houndstone,12.589,,
Palafin,2022-11,Flutter Mane,23.866,Zamazenta-Crowned,22.735,Cyclizar,22.451,Garchomp,17.730,Breloom,15.739,Mawile-Mega,15.489,Blaziken-Mega,14.737,Chien-Pao,14.436,Roaring Moon,14.125,Glimmora,11.561,Pelipper,11.472,,
Landorus-Therian,2022-11,Heatran,18.269,Magearna,14.534,Lopunny-Mega,13.875,Kyurem-Black,12.639,Toxapex,12.205,Chien-Pao,11.733,Greninja-Ash,11.720,Roaring Moon,11.655,Palafin,11.614,Dragapult,9.869,Cyclizar,9.491,,
Blaziken-Mega,2022-11,Kyurem-Black,33.360,Flutter Mane,29.944,Genesect,27.310,Deoxys-Speed,23.122,Cyclizar,22.128,Shedinja,19.080,Roaring Moon,18.823,Palafin,15.255,Grimmsnarl,15.042,Chien-Pao,14.862,Magearna,13.066,,
