name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Cyclizar,2022-11,Ditto,76.706,Lopunny-Mega,71.815,Chansey,71.096,Bewear,68.457,Meloetta,68.446,Salamence-Mega,20.905,Dragapult,20.512,Naganadel,20.150,Kyurem-Black,18.711,Zygarde,18.437,Maushold,6.325,,
Dracovish,2022-11,Blastoise-Mega,71.520,Palafin,49.613,Araquanid,47.475,Iron Bundle,45.687,Pelipper,45.179,Urshifu-Rapid-Strike,44.745,Barraskewda,41.507,Cloyster,27.422,Toxapex,24.693,Swampert-Mega,20.487,Greninja,16.815,,
Flutter Mane,2022-11,Dragapult,52.616,Mimikyu,45.858,Gengar-Mega,38.905,Iron Valiant,25.504,Houndstone,24.564,Skeledirge,23.987,Aegislash,22.642,Ribombee,20.545,Tapu Bulu,19.971,Tapu Lele,19.971,Diancie-Mega,19.971,,
Ditto,2022-11,Cyclizar,96.297,Lopunny-Mega,92.513,Chansey,89.313,Bewear,86.000,Meloetta,85.928,Maushold,9.246,Swellow,7.029,Smeargle,7.029,Kangaskhan-Mega,7.029,,,,,,
Iron Bundle,2022-11,Palafin,50.471,Dracovish,48.839,Blastoise-Mega,47.832,Araquanid,47.832,Urshifu-Rapid-Strike,47.832,Chien-Pao,43.520,Ninetales-Alola,41.974,Cloyster,33.432,Avalugg,31.469,Kyurem,30.045,Mamoswine,13.817,,
Lopunny-Mega,2022-11,Ditto,98.213,Cyclizar,95.713,Chansey,94.916,Bewear,91.284,Meloetta,91.223,Porygon-Z,7.425,,,,,,,,,,,,
Dragapult,2022-11,Flutter Mane,61.271,Mimikyu,57.879,Gengar-Mega,39.963,Salamence-Mega,29.251,Skeledirge,27.041,Cyclizar,26.662,Aegislash,26.366,Houndstone,26.337,Zygarde,24.854,Kyurem-Black,24.675,Naganadel,24.244,,
Chansey,2022-11,Lopunny-Mega,100.000,Ditto,99.894,Cyclizar,99.829,Bewear,96.174,Meloetta,96.109,,,,,,,,,,,,,,
Bewear,2022-11,Ditto,97.959,Chansey,97.943,Lopunny-Mega,97.943,Cyclizar,97.892,Meloetta,97.877,,,,,,,,,,,,,,
Meloetta,2022-11,Ditto,100.000,Cyclizar,100.000,Lopunny-Mega,100.000,Chansey,100.000,Bewear,100.000,,,,,,,,,,,,,,
Blastoise-Mega,2022-11,Dracovish,98.312,Palafin,65.784,Araquanid,62.921,Urshifu-Rapid-Strike,61.506,Iron Bundle,61.506,Toxapex,35.362,Pelipper,33.947,Cloyster,33.942,Barraskewda,33.942,,,,,,
Mimikyu,2022-11,Dragapult,73.462,Flutter Mane,67.779,Gengar-Mega,53.503,Skeledirge,35.364,Houndstone,34.718,Aegislash,29.114,Spectrier,26.321,Sableye-Mega,22.396,Iron Valiant,19.749,Tapu Bulu,19.749,Ribombee,19.749,,
Zygarde,2022-11,Salamence-Mega,81.685,Naganadel,80.258,Kyurem-Black,80.258,Roaring Moon,49.111,Latias,40.956,Dragapult,32.441,Cyclizar,31.280,Sandy Shocks,11.766,Nidoking,11.045,Dracovish,8.287,Gastrodon,7.017,,
Pelipper,2022-11,Barraskewda,77.435,Dracovish,68.143,Swampert-Mega,57.332,Cloyster,41.360,Kingdra,40.191,Toxapex,37.378,Blastoise-Mega,37.249,Greninja,25.361,Palafin,18.752,Primarina,14.830,Starmie,14.830,,
Salamence-Mega,2022-11,Naganadel,87.558,Zygarde,87.350,Kyurem-Black,86.319,Roaring Moon,52.517,Latias,43.826,Dragapult,40.828,Cyclizar,37.927,Dracovish,12.475,Baxcalibur,7.683,Landorus-Therian,4.941,Celesteela,4.941,,
Araquanid,2022-11,Palafin,74.742,Dracovish,71.456,Blastoise-Mega,68.896,Iron Bundle,67.347,Urshifu-Rapid-Strike,67.347,Volcarona,15.103,Heracross,14.690,Pinsir-Mega,11.724,Shuckle,11.724,Slither Wing,11.724,Pelipper,7.180,,
Chien-Pao,2022-11,Ninetales-Alola,67.889,Iron Bundle,61.205,Avalugg,50.309,Cloyster,47.017,Kyurem,42.254,Darmanitan-Galar,22.823,Roaring Moon,19.762,Mamoswine,19.391,Chi-Yu,18.758,Meowscarada,18.595,Bisharp,14.994,,
Palafin,2022-11,Araquanid,82.100,Dracovish,82.026,Blastoise-Mega,79.122,Iron Bundle,78.059,Urshifu-Rapid-Strike,73.977,Pelipper,20.555,Swampert-Mega,17.181,Greninja-Ash,11.610,Manaphy,10.052,Slowking,10.052,Quaquaval,8.519,,
Iron Valiant,2022-11,Tapu Lele,56.296,Ribombee,51.048,Tapu Bulu,50.184,Diancie-Mega,50.184,Flutter Mane,38.397,Breloom,20.254,Mimikyu,20.117,Zamazenta-Crowned,16.576,Azumarill,13.101,Great Tusk,12.170,Klefki,11.374,,
Cloyster,2022-11,Ninetales-Alola,50.582,Iron Bundle,50.086,Chien-Pao,50.086,Kyurem,45.012,Pelipper,43.917,Dracovish,43.917,Barraskewda,39.546,Toxapex,39.546,Blastoise-Mega,39.546,Avalugg,33.716,Mamoswine,21.152,,
Gengar-Mega,2022-11,Flutter Mane,67.818,Mimikyu,63.101,Dragapult,59.821,Skeledirge,41.708,Aegislash,38.551,Annihilape,33.965,Ceruledge,27.241,Gholdengo,23.358,Froslass,23.054,Blacephalon,14.151,Toxapex,12.945,,
Kyurem-Black,2022-11,Naganadel,95.754,Salamence-Mega,95.754,Zygarde,95.206,Roaring Moon,58.257,Latias,48.584,Dragapult,38.205,Cyclizar,37.656,Dracovish,9.673,,,,,,,,
Naganadel,2022-11,Salamence-Mega,97.107,Kyurem-Black,95.734,Zygarde,95.186,Roaring Moon,60.398,Latias,48.605,Cyclizar,40.543,Dragapult,37.530,,,,,,,,,,
Urshifu-Rapid-Strike,2022-11,Blastoise-Mega,86.314,Araquanid,86.314,Iron Bundle,86.314,Palafin,86.314,Dracovish,86.314,Pheromosa,13.686,Annihilape,13.686,Medicham-Mega,13.686,Zamazenta-Crowned,13.686,,,,,,
Barraskewda,2022-11,Pelipper,100.000,Dracovish,80.848,Swampert-Mega,51.903,Kingdra,51.903,Cloyster,48.097,Blastoise-Mega,48.097,Toxapex,48.097,Greninja,32.752,Starmie,19.152,,,,,,
Roaring Moon,2022-11,Naganadel,72.089,Salamence-Mega,69.519,Zygarde,69.519,Kyurem-Black,69.519,Latias,57.976,Chien-Pao,27.911,Chi-Yu,24.215,Meowscarada,23.983,Bisharp,21.178,Sableye-Mega,21.178,Dracovish,11.593,,
Ninetales-Alola,2022-11,Chien-Pao,90.755,Iron Bundle,78.914,Avalugg,66.250,Cloyster,63.475,Kyurem,56.485,Darmanitan-Galar,29.838,Mamoswine,26.599,Baxcalibur,13.025,Abomasnow-Mega,12.928,Cetitan,12.717,Kyurem-Black,3.996,,
Tapu Lele,2022-11,Iron Valiant,82.999,Diancie-Mega,78.939,Tapu Bulu,73.987,Ribombee,73.987,Flutter Mane,44.328,Mimikyu,29.658,Azumarill,13.964,Latios,9.952,Mew,9.952,Klefki,9.012,Mawile-Mega,9.012,,
Annihilape,2022-11,Gengar-Mega,39.785,Zamazenta-Crowned,37.949,Flutter Mane,36.848,Froslass,27.004,Dragapult,26.999,Ceruledge,26.668,Great Tusk,23.700,Gholdengo,19.185,Blacephalon,16.699,Lucario-Mega,15.535,Mimikyu,15.309,,
Iron Hands,2022-11,Raichu-Alola,79.070,Rotom-Wash,79.070,Tapu Koko,79.070,Regieleki,78.321,Thundurus,78.321,Iron Valiant,13.798,Breloom,13.431,Zamazenta-Crowned,13.431,Great Tusk,13.431,Annihilape,10.233,Kommo-o,3.566,,
Tapu Koko,2022-11,Regieleki,75.380,Raichu-Alola,75.168,Rotom-Wash,75.168,Iron Hands,75.168,Thundurus,74.456,Iron Valiant,7.084,Clefable,5.915,Togekiss,4.515,Azumarill,4.515,Klefki,4.129,Mawile-Mega,2.955,,
Skeledirge,2022-11,Flutter Mane,53.863,Mimikyu,53.727,Gengar-Mega,53.727,Dragapult,52.143,Aegislash,44.220,Charizard-Mega-Y,28.589,Incineroar,27.763,Blaziken,26.584,Cinderace,26.584,Delphox,26.584,Blacephalon,17.715,,
