name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Sandaconda,2023-02,Passimian,40.623,Goodra,32.535,Dudunsparce,20.708,Vaporeon,19.520,Frosmoth,18.010,Bruxish,17.547,Oricorio-Sensu,15.529,Oricorio-Pom-Pom,14.881,Braviary,14.270,Zoroark,13.975,Copperajah,13.742,,
Passimian,2023-02,Sandaconda,43.575,Goodra,30.959,Oricorio-Pom-Pom,20.424,Vaporeon,17.259,Dudunsparce,17.209,Jolteon,16.496,Frosmoth,15.802,Oricorio-Sensu,15.019,Copperajah,14.555,Lycanroc,12.439,Zoroark,11.602,,
Goodra,2023-02,Sandaconda,41.617,Passimian,36.919,Oricorio-Pom-Pom,24.631,Medicham,17.590,Copperajah,17.258,Bruxish,16.424,Dudunsparce,15.770,Braviary,14.741,Frosmoth,13.770,Zoroark,12.845,Honchkrow,12.442,,
Jolteon,2023-02,Braviary,36.518,Lycanroc,30.028,Passimian,24.823,Tauros-Paldea-Combat,22.649,Veluza,20.148,Medicham,19.206,Venomoth,18.576,Sandaconda,18.566,Oricorio-Sensu,14.388,Frosmoth,13.589,Goodra,13.335,,
Braviary,2023-02,Jolteon,38.157,Sandaconda,24.068,Lycanroc,23.134,Tauros-Paldea-Combat,21.685,Medicham,20.463,Veluza,19.897,Goodra,19.437,Venomoth,18.702,Zoroark,17.271,Passimian,16.030,Bruxish,11.468,,
Copperajah,2023-02,Sandaconda,26.130,Passimian,25.799,Goodra,25.653,Bruxish,23.283,Vaporeon,18.900,Oricorio-Pom-Pom,17.461,Oricorio-Sensu,17.054,Medicham,16.566,Jolteon,15.014,Lurantis,13.882,Vespiquen,12.755,,
Medicham,2023-02,Goodra,27.105,Sandaconda,24.554,Braviary,23.915,Jolteon,23.453,Dudunsparce,17.404,Zoroark,17.273,Copperajah,17.174,Frosmoth,14.175,Masquerain,13.224,Oricorio-Sensu,13.200,Oricorio-Pom-Pom,11.818,,
Bruxish,2023-02,Sandaconda,35.268,Goodra,25.807,Copperajah,24.612,Oricorio-Pom-Pom,22.718,Passimian,20.042,Oricorio-Sensu,19.499,Toxicroak,14.891,Braviary,13.666,Dudunsparce,13.660,Frosmoth,11.187,Lurantis,11.091,,
Oricorio-Pom-Pom,2023-02,Goodra,39.267,Passimian,38.828,Sandaconda,30.346,Bruxish,23.050,Copperajah,18.727,Vaporeon,14.570,Lycanroc,14.470,Zoroark,12.783,Medicham,12.227,Chansey,11.422,Dudunsparce,10.094,,
Dudunsparce,2023-02,Sandaconda,42.212,Passimian,32.704,Goodra,25.130,Medicham,17.998,Frosmoth,17.937,Honchkrow,16.334,Bruxish,13.854,Braviary,13.840,Jolteon,13.116,Eelektross,11.838,Oricorio-Sensu,11.609,,
Lycanroc,2023-02,Jolteon,39.072,Tauros-Paldea-Combat,29.037,Veluza,28.909,Braviary,28.809,Venomoth,28.038,Passimian,24.356,Goodra,16.463,Oricorio-Pom-Pom,14.903,Sandaconda,14.144,Medicham,12.481,Bruxish,11.460,,
Frosmoth,2023-02,Sandaconda,38.784,Passimian,31.724,Goodra,23.182,Dudunsparce,18.949,Jolteon,18.128,Toxicroak,16.362,Honchkrow,16.210,Medicham,15.486,Zoroark,13.900,Drifblim,12.304,Bruxish,11.986,,
Zoroark,2023-02,Sandaconda,32.019,Passimian,24.782,Braviary,23.462,Goodra,23.008,Medicham,20.077,Drifblim,16.245,Jolteon,15.705,Frosmoth,14.789,Oricorio-Pom-Pom,14.363,Bruxish,12.626,Muk,11.595,,
Vaporeon,2023-02,Sandaconda,48.469,Passimian,39.952,Copperajah,24.681,Goodra,22.688,Oricorio-Pom-Pom,17.740,Muk,15.470,Braviary,14.781,Frosmoth,13.701,Jolteon,13.652,Mabosstiff,13.330,Dudunsparce,12.742,,
Oricorio-Sensu,2023-02,Sandaconda,40.221,Passimian,36.265,Bruxish,25.128,Copperajah,23.231,Jolteon,23.087,Medicham,17.345,Dudunsparce,14.750,Lycanroc,12.270,Braviary,11.820,Toxicroak,11.351,Umbreon,11.150,,
Tauros-Paldea-Combat,2023-02,Jolteon,38.724,Lycanroc,38.156,Braviary,35.484,Veluza,32.785,Venomoth,27.222,Goodra,17.139,Sandaconda,13.089,Copperajah,12.190,Muk,12.171,Bruxish,10.990,Rotom,10.989,,
Drifblim,2023-02,Sandaconda,31.827,Passimian,24.923,Zoroark,21.367,Copperajah,18.389,Medicham,17.461,Frosmoth,17.219,Dudunsparce,16.663,Goodra,16.177,Jolteon,13.328,Chansey,13.215,Vaporeon,13.080,,
Mabosstiff,2023-02,Sandaconda,33.766,Passimian,29.454,Goodra,21.682,Frosmoth,16.356,Vaporeon,16.109,Medicham,15.919,Dudunsparce,15.434,Jolteon,15.414,Braviary,13.918,Muk,13.143,Oricorio-Pom-Pom,12.934,,
Veluza,2023-02,Lycanroc,47.237,Jolteon,42.836,Tauros-Paldea-Combat,40.768,Braviary,40.485,Venomoth,34.452,Frosmoth,16.731,Passimian,15.827,Oricorio-Pom-Pom,14.452,Goodra,12.840,Morgrem,11.506,Mabosstiff,10.789,,
Muk,2023-02,Sandaconda,36.968,Passimian,32.083,Vaporeon,21.447,Zoroark,17.420,Oricorio-Pom-Pom,15.455,Tauros-Paldea-Combat,15.180,Mabosstiff,15.078,Copperajah,14.854,Dudunsparce,13.166,Bruxish,12.996,Goodra,12.918,,
Honchkrow,2023-02,Goodra,34.614,Sandaconda,30.560,Dudunsparce,28.516,Frosmoth,26.788,Passimian,26.114,Jolteon,24.784,Toxicroak,17.658,Lycanroc,17.092,Eelektross,13.268,Medicham,12.876,Zangoose,12.218,,
Toxicroak,2023-02,Sandaconda,43.588,Frosmoth,27.950,Bruxish,27.253,Goodra,23.777,Copperajah,21.103,Dudunsparce,20.140,Honchkrow,18.253,Jolteon,16.300,Oricorio-Sensu,16.121,Zoroark,13.455,Braviary,13.243,,
Umbreon,2023-02,Sandaconda,44.463,Goodra,28.919,Passimian,27.376,Medicham,21.921,Qwilfish,20.953,Oricorio-Pom-Pom,18.377,Oricorio-Sensu,16.332,Braviary,14.923,Sawsbuck,13.032,Dudunsparce,12.456,Muk,12.065,,
Chansey,2023-02,Sandaconda,37.164,Passimian,27.380,Oricorio-Pom-Pom,21.944,Zoroark,19.046,Crocalor,18.878,Spiritomb,17.808,Drifblim,17.179,Braviary,14.511,Goodra,13.997,Vaporeon,13.467,Vespiquen,13.143,,
Qwilfish,2023-02,Passimian,36.479,Sandaconda,27.302,Umbreon,23.261,Medicham,21.841,Goodra,19.093,Rotom,16.605,Drifblim,16.365,Braviary,15.565,Appletun,14.674,Oricorio-Sensu,13.228,Copperajah,12.374,,
Venomoth,2023-02,Lycanroc,56.162,Jolteon,48.416,Braviary,46.651,Veluza,42.234,Tauros-Paldea-Combat,41.496,Medicham,18.737,Goodra,14.463,Passimian,13.257,Dudunsparce,12.009,Bruxish,10.178,Oricorio-Pom-Pom,9.941,,
Ursaring,2023-02,Passimian,26.581,Sandaconda,21.490,Goodra,21.162,Medicham,19.401,Frosmoth,19.232,Oricorio-Pom-Pom,16.353,Drifblim,15.945,Tinkatuff,15.802,Oricorio-Sensu,13.559,Bruxish,13.075,Braviary,12.809,,
Eelektross,2023-02,Sandaconda,40.926,Passimian,35.901,Dudunsparce,26.553,Goodra,24.910,Oricorio-Sensu,17.992,Honchkrow,17.048,Copperajah,14.738,Bruxish,13.752,Muk,13.041,Braviary,12.718,Zoroark,12.109,,
Clawitzer,2023-02,Sandaconda,29.441,Passimian,21.118,Dudunsparce,15.595,Zoroark,15.019,Copperajah,14.541,Lycanroc,14.372,Honchkrow,13.895,Medicham,13.586,Mabosstiff,13.341,Drifblim,13.319,Oricorio-Sensu,12.610,,
