name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Quaxwell,2023-03,Magneton,31.268,Skuntank,27.010,Gabite,21.976,Houndoom,19.324,Perrserker,18.259,Lycanroc-Midnight,17.770,Camerupt,17.467,Cacturne,17.205,Tinkatuff,14.318,Pyroar,14.304,Crabominable,13.443,,
Magneton,2023-03,Quaxwell,33.623,Houndoom,31.689,Gabite,29.825,Lycanroc-Midnight,26.765,Crabominable,19.325,Dugtrio,18.147,Skuntank,18.137,Cacturne,16.622,Haunter,16.113,Oricorio-Pa'u,13.613,Dartrix,13.424,,
Skuntank,2023-03,Quaxwell,32.720,Gabite,31.328,Misdreavus,28.238,Magneton,20.431,Pyroar,17.428,Crabominable,16.669,Houndoom,14.593,Perrserker,14.554,Lycanroc-Midnight,14.240,Falinks,12.928,Camerupt,12.924,,
Houndoom,2023-03,Magneton,40.490,Quaxwell,26.551,Lycanroc-Midnight,26.391,Dugtrio,25.064,Rotom-Fan,17.637,Skuntank,16.552,Dartrix,15.521,Crabominable,15.491,Vivillon,14.251,Gabite,13.882,Perrserker,13.852,,
Gabite,2023-03,Magneton,42.700,Skuntank,39.815,Quaxwell,33.833,Misdreavus,30.699,Crabominable,23.208,Cacturne,18.601,Pyroar,17.595,Raboot,16.243,Houndoom,15.555,Lycanroc-Midnight,15.327,Frogadier,13.665,,
Lycanroc-Midnight,2023-03,Magneton,38.453,Houndoom,29.674,Quaxwell,27.453,Rotom-Fan,20.429,Dugtrio,19.730,Skuntank,18.161,Dartrix,18.032,Gabite,15.381,Pyroar,15.347,Misdreavus,13.831,Vivillon,13.107,,
Perrserker,2023-03,Quaxwell,32.005,Crabominable,21.435,Skuntank,21.059,Camerupt,18.526,Houndoom,17.671,Pyroar,13.961,Lycanroc-Midnight,13.763,Rotom-Frost,13.501,Vivillon,13.264,Oricorio-Pa'u,12.622,Haunter,12.339,,
Crabominable,2023-03,Magneton,32.035,Gabite,26.872,Skuntank,24.529,Quaxwell,23.964,Hattrem,23.257,Perrserker,21.799,Houndoom,20.098,Misdreavus,17.038,Indeedee-F,14.448,Rabsca,14.295,Camerupt,13.972,,
Misdreavus,2023-03,Skuntank,43.135,Gabite,36.899,Magneton,22.581,Quaxwell,21.723,Crabominable,17.687,Glimmet,16.924,Raichu,16.686,Lycanroc-Midnight,16.566,Cacturne,16.309,Pyroar,14.989,Perrserker,12.835,,
Haunter,2023-03,Magneton,32.119,Quaxwell,27.923,Houndoom,19.468,Skuntank,18.823,Lycanroc-Midnight,16.985,Dugtrio,15.443,Crabominable,15.266,Perrserker,15.090,Cacturne,14.540,Gabite,14.287,Dragonair,14.188,,
Pyroar,2023-03,Skuntank,32.126,Quaxwell,31.941,Gabite,25.520,Lycanroc-Midnight,22.182,Cacturne,20.279,Misdreavus,18.087,Perrserker,17.785,Drakloak,16.992,Falinks,15.778,Crabominable,15.255,Gogoat,12.140,,
Dugtrio,2023-03,Houndoom,40.677,Magneton,37.631,Lycanroc-Midnight,28.478,Rotom-Fan,25.981,Quaxwell,22.228,Skuntank,21.658,Dartrix,20.866,Haunter,16.064,Falinks,12.529,Oricorio-Pa'u,11.551,Perrserker,10.994,,
Cacturne,2023-03,Quaxwell,39.403,Magneton,35.399,Gabite,27.670,Pyroar,20.798,Misdreavus,20.185,Dragonair,18.903,Oricorio-Pa'u,18.652,Lycanroc-Midnight,17.070,Houndoom,16.410,Haunter,15.535,Crabominable,14.899,,
Camerupt,2023-03,Quaxwell,40.732,Skuntank,24.880,Perrserker,24.647,Magneton,20.998,Crabominable,18.278,Hattrem,17.920,Squawkabilly,17.614,Rotom-Frost,17.309,Lycanroc-Midnight,15.125,Oricorio-Pa'u,12.811,Rabsca,12.469,,
Squawkabilly,2023-03,Quaxwell,30.899,Magneton,23.804,Skuntank,20.882,Houndoom,20.823,Camerupt,19.618,Perrserker,18.173,Lycanroc-Midnight,16.948,Haunter,14.049,Gabite,13.916,Pyroar,12.658,Lilligant,12.631,,
Vivillon,2023-03,Houndoom,26.854,Quaxwell,26.708,Magneton,25.060,Lycanroc-Midnight,21.966,Perrserker,19.591,Haunter,16.224,Crabominable,15.005,Skuntank,12.912,Gabite,11.695,Pyroar,11.547,Cacturne,11.482,,
