name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Haxorus,2023-01,Lycanroc-Dusk,25.109,Espeon,21.936,Cloyster,19.358,Toxtricity,18.570,Gardevoir,15.577,Weavile,13.928,Magnezone,12.585,Heracross,12.130,Sableye,11.502,Revavroom,10.674,Tauros-Paldea-Blaze,10.042,,
Lycanroc-Dusk,2023-01,Espeon,30.219,Haxorus,29.466,Magnezone,19.227,Tatsugiri,17.232,Toxtricity,16.718,Flamigo,13.712,Mismagius,13.671,Primeape,13.135,Bellibolt,13.134,Weavile,12.969,Cloyster,11.712,,
Espeon,2023-01,Lycanroc-Dusk,32.222,Haxorus,27.449,Toxtricity,16.118,Primeape,15.289,Arcanine,15.179,Cloyster,14.976,Tauros-Paldea-Blaze,13.487,Tatsugiri,13.305,Magnezone,12.839,Palossand,12.074,Flamigo,12.069,,
Slowbro,2023-01,Magnezone,22.587,Krookodile,20.245,Sableye,19.993,Coalossal,16.862,Altaria,15.773,Weavile,14.540,Bellibolt,13.143,Sylveon,12.515,Florges,12.118,Lycanroc-Dusk,11.932,Blissey,11.719,,
Magnezone,2023-01,Lycanroc-Dusk,25.491,Mudsdale,24.746,Slowbro,23.920,Flamigo,20.638,Tatsugiri,19.677,Haxorus,19.581,Krookodile,17.494,Espeon,15.964,Mismagius,14.747,Gardevoir,14.734,Tauros-Paldea-Blaze,13.681,,
Tauros-Paldea-Blaze,2023-01,Krookodile,19.699,Espeon,19.240,Gardevoir,18.228,Haxorus,17.925,Palossand,16.968,Tatsugiri,16.836,Magnezone,15.695,Lycanroc-Dusk,14.994,Heracross,13.123,Weavile,12.245,Flamigo,11.304,,
Toxtricity,2023-01,Haxorus,34.412,Lycanroc-Dusk,26.399,Espeon,23.870,Cloyster,20.179,Weavile,18.650,Flamigo,18.426,Slowbro,14.536,Drednaw,13.646,Tauros-Paldea-Blaze,11.643,Palossand,10.937,Krookodile,10.544,,
Gardevoir,2023-01,Haxorus,29.077,Mudsdale,21.169,Tauros-Paldea-Blaze,19.061,Avalugg,18.013,Magnezone,17.677,Heracross,16.551,Lycanroc-Dusk,16.139,Weavile,14.259,Tatsugiri,13.208,Arcanine,13.207,Komala,12.170,,
Tatsugiri,2023-01,Lycanroc-Dusk,28.135,Magnezone,24.232,Mudsdale,21.476,Primeape,21.088,Espeon,20.374,Arcanine,19.803,Flamigo,18.103,Tauros-Paldea-Blaze,18.072,Mismagius,14.572,Bronzong,13.664,Gardevoir,13.558,,
Krookodile,2023-01,Slowbro,26.204,Magnezone,21.380,Tauros-Paldea-Blaze,20.985,Rotom-Heat,19.512,Heracross,18.258,Haxorus,16.916,Lycanroc-Dusk,16.319,Tatsugiri,13.202,Primeape,12.801,Flamigo,12.422,Toxtricity,10.820,,
Flamigo,2023-01,Magnezone,26.767,Lycanroc-Dusk,23.580,Toxtricity,20.065,Espeon,19.464,Tatsugiri,19.065,Haxorus,17.508,Bellibolt,13.983,Krookodile,13.182,Slowbro,13.001,Tauros-Paldea-Blaze,12.779,Palossand,11.782,,
Weavile,2023-01,Haxorus,29.092,Lycanroc-Dusk,23.084,Toxtricity,21.021,Slowbro,20.673,Gardevoir,15.956,Magnezone,15.312,Mudsdale,14.885,Tauros-Paldea-Blaze,14.329,Coalossal,11.396,Espeon,11.244,Cloyster,11.241,,
Cloyster,2023-01,Haxorus,41.431,Espeon,25.616,Toxtricity,23.306,Lycanroc-Dusk,21.360,Abomasnow,18.334,Magnezone,15.001,Rotom-Heat,14.611,Cetitan,13.789,Sableye,13.267,Flamigo,12.304,Heracross,12.098,,
Mudsdale,2023-01,Magnezone,34.920,Gardevoir,24.900,Tatsugiri,24.608,Haxorus,17.931,Revavroom,15.884,Weavile,15.646,Lycanroc-Dusk,15.359,Abomasnow,14.684,Komala,13.081,Heracross,13.005,Espeon,12.742,,
