name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Miraidon,2022-11,Koraidon,62.254,Flutter Mane,51.873,Iron Bundle,27.765,Iron Treads,27.186,Great Tusk,24.604,Chien-Pao,23.167,Iron Valiant,15.981,Corviknight,13.998,Ting-Lu,13.793,Palafin,11.514,Ditto,11.319,,
Koraidon,2022-11,Miraidon,68.986,Flutter Mane,60.595,Great Tusk,33.656,Chien-Pao,23.996,Iron Treads,21.228,Iron Bundle,18.951,Roaring Moon,17.921,Clodsire,15.567,Corviknight,14.116,Grimmsnarl,11.894,Scream Tail,11.631,,
Flutter Mane,2022-11,Koraidon,77.307,Miraidon,73.336,Great Tusk,30.621,Iron Treads,26.966,Iron Bundle,21.924,Chien-Pao,21.251,Roaring Moon,16.110,Clodsire,12.950,Palafin,12.538,Ditto,11.135,Corviknight,10.128,,
Great Tusk,2022-11,Koraidon,78.356,Miraidon,63.474,Flutter Mane,55.878,Iron Bundle,32.487,Ting-Lu,20.993,Scream Tail,16.857,Roaring Moon,16.630,Chien-Pao,15.133,Ditto,14.560,Clodsire,14.289,Iron Treads,13.358,,
Iron Treads,2022-11,Miraidon,79.252,Koraidon,55.846,Flutter Mane,55.604,Iron Bundle,24.349,Chien-Pao,17.871,Scream Tail,17.479,Corviknight,17.349,Iron Valiant,16.564,Great Tusk,15.094,Palafin,14.777,Chi-Yu,10.062,,
Chien-Pao,2022-11,Miraidon,73.166,Koraidon,68.389,Flutter Mane,47.472,Clodsire,20.068,Iron Treads,19.360,Great Tusk,18.526,Grimmsnarl,18.499,Iron Valiant,16.590,Roaring Moon,16.456,Iron Bundle,13.193,Cyclizar,10.365,,
Iron Bundle,2022-11,Miraidon,88.093,Koraidon,54.261,Flutter Mane,49.203,Great Tusk,39.953,Iron Treads,26.500,Ting-Lu,21.613,Chien-Pao,13.254,Iron Valiant,11.832,Toxapex,11.323,Gholdengo,10.819,Ditto,10.201,,
Corviknight,2022-11,Miraidon,58.926,Koraidon,53.624,Clodsire,30.333,Flutter Mane,30.158,Skeledirge,28.531,Iron Treads,25.052,Blissey,23.737,Great Tusk,21.715,Ting-Lu,19.634,Scream Tail,16.454,Dugtrio,16.350,,
Clodsire,2022-11,Koraidon,65.649,Flutter Mane,42.806,Miraidon,42.434,Corviknight,33.673,Chien-Pao,29.695,Great Tusk,25.883,Blissey,24.928,Skeledirge,22.001,Alomomola,18.139,Roaring Moon,12.635,Chi-Yu,11.604,,
Roaring Moon,2022-11,Koraidon,88.828,Flutter Mane,62.590,Miraidon,52.242,Great Tusk,35.406,Chien-Pao,28.620,Ditto,20.128,Iron Treads,18.643,Chi-Yu,15.959,Clodsire,14.850,Slither Wing,13.259,Grimmsnarl,12.896,,
Ting-Lu,2022-11,Miraidon,75.409,Great Tusk,44.490,Koraidon,40.915,Flutter Mane,37.340,Iron Bundle,37.244,Skeledirge,29.448,Toxapex,29.148,Corviknight,25.500,Gholdengo,22.599,Garganacl,17.795,Chien-Pao,14.665,,
Skeledirge,2022-11,Miraidon,61.628,Koraidon,44.451,Corviknight,39.029,Ting-Lu,31.016,Blissey,28.362,Clodsire,27.110,Flutter Mane,19.859,Great Tusk,17.004,Alomomola,16.223,Garganacl,13.921,Scream Tail,12.556,,
