name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Magearna,2023-11,Zacian,39.908,Cyclizar,37.695,Palafin,34.415,Palkia-Origin,27.307,Arceus-Fire,24.829,Dialga,19.507,Arceus-Poison,17.339,Rillaboom,16.550,Chi-Yu,15.021,Sneasler,14.383,Landorus,13.938,,
Zacian,2023-11,Magearna,56.284,Cyclizar,38.818,Palkia-Origin,31.841,Arceus-Fire,29.131,Palafin,24.043,Arceus-Poison,19.253,Dialga,19.085,Gholdengo,18.230,Chi-Yu,18.220,Landorus,17.223,Volcarona,13.146,,
Cyclizar,2023-11,Magearna,64.201,Zacian,46.877,Palafin,35.793,Palkia-Origin,29.711,Arceus-Fire,25.499,Dialga,21.686,Arceus-Poison,20.884,Chi-Yu,18.411,Gholdengo,15.559,Landorus,13.474,Espathra,13.292,,
Palafin,2023-11,Magearna,66.086,Cyclizar,40.356,Zacian,32.736,Arceus-Fire,30.226,Palkia-Origin,22.701,Arceus-Poison,18.835,Chi-Yu,17.177,Espathra,17.047,Sneasler,15.699,Landorus,15.105,Rillaboom,15.034,,
Palkia-Origin,2023-11,Magearna,56.566,Zacian,46.768,Cyclizar,36.136,Arceus-Poison,24.588,Palafin,24.489,Arceus-Fire,21.848,Landorus,18.582,Dialga,17.514,Chi-Yu,14.050,Pelipper,11.524,Dragapult,10.466,,
Arceus-Fire,2023-11,Magearna,57.780,Zacian,48.068,Palafin,36.631,Cyclizar,34.841,Palkia-Origin,24.544,Rillaboom,24.301,Espathra,21.135,Sneasler,19.045,Dialga,18.018,Roaring Moon,17.498,Landorus,16.452,,
Dialga,2023-11,Magearna,56.155,Zacian,38.954,Cyclizar,36.652,Palkia-Origin,24.338,Arceus-Fire,22.289,Palafin,19.570,Arceus-Poison,19.114,Gholdengo,14.471,Rillaboom,14.160,Ursaluna,13.508,Landorus,12.288,,
Arceus-Poison,2023-11,Magearna,55.668,Zacian,43.827,Cyclizar,39.366,Palkia-Origin,38.108,Palafin,31.491,Dialga,21.317,Landorus,17.738,Chi-Yu,17.552,Spectrier,11.765,Zamazenta-Crowned,10.876,Ursaluna-Bloodmoon,9.849,,
Landorus,2023-11,Magearna,47.382,Zacian,41.515,Palkia-Origin,30.494,Cyclizar,26.893,Palafin,26.740,Arceus-Fire,24.032,Arceus-Poison,18.782,Dialga,14.511,Chi-Yu,13.718,Sneasler,10.712,Baxcalibur,10.472,,
Chi-Yu,2023-11,Magearna,51.681,Zacian,44.448,Cyclizar,37.192,Palafin,30.776,Palkia-Origin,23.336,Arceus-Poison,18.809,Torkoal,16.644,Arceus-Grass,16.194,Landorus,13.883,Walking Wake,13.068,Dialga,12.358,,
Rillaboom,2023-11,Sneasler,69.918,Magearna,65.701,Arceus-Fire,41.454,Palafin,31.080,Espathra,30.243,Dialga,19.527,Ursaluna,18.779,Cyclizar,17.884,Palkia-Origin,17.116,Zacian,11.645,Ursaluna-Bloodmoon,10.718,,
Sneasler,2023-11,Rillaboom,73.178,Magearna,59.760,Arceus-Fire,34.002,Palafin,33.969,Espathra,29.822,Zacian,20.504,Palkia-Origin,19.794,Cyclizar,18.562,Landorus,13.092,Dialga,12.477,Ursaluna,11.516,,
Espathra,2023-11,Magearna,55.012,Arceus-Fire,42.150,Palafin,41.200,Cyclizar,36.220,Rillaboom,35.358,Sneasler,33.312,Zacian,27.390,Volcarona,16.880,Ninetales-Alola,14.457,Baxcalibur,13.809,Palkia-Origin,13.641,,
Gholdengo,2023-11,Zacian,60.614,Magearna,56.579,Cyclizar,42.840,Dialga,23.574,Meowscarada,22.611,Arceus-Fire,20.493,Garchomp,18.721,Dragapult,16.916,Palkia-Origin,16.172,Palafin,14.823,Dragonite,14.819,,
Volcarona,2023-11,Zacian,47.014,Magearna,38.219,Cyclizar,28.452,Palafin,23.747,Palkia-Origin,22.942,Espathra,18.344,Dialga,17.021,Landorus,15.134,Ninetales-Alola,14.296,Arceus-Fire,13.454,Baxcalibur,13.416,,
Spectrier,2023-11,Zacian,40.821,Magearna,34.031,Arceus-Fire,32.765,Palkia-Origin,24.688,Cyclizar,23.580,Palafin,21.372,Dialga,20.990,Arceus-Poison,19.125,Zamazenta-Crowned,15.937,Landorus,14.198,Ursaluna-Bloodmoon,13.310,,
Roaring Moon,2023-11,Magearna,52.981,Zacian,52.654,Arceus-Fire,43.162,Cyclizar,41.789,Palafin,37.707,Chi-Yu,17.943,Torkoal,13.992,Palkia-Origin,13.508,Espathra,12.440,Landorus,11.071,Volcarona,10.624,,
Dragapult,2023-11,Magearna,56.157,Zacian,41.187,Palkia-Origin,30.978,Dragonite,29.449,Garchomp,22.330,Gholdengo,22.118,Cyclizar,21.048,Arceus-Poison,18.135,Palafin,17.633,Ursaluna-Bloodmoon,15.555,Dialga,15.231,,
Zamazenta-Crowned,2023-11,Magearna,33.007,Zacian,31.671,Arceus-Fire,30.246,Palafin,25.127,Arceus-Poison,21.602,Spectrier,19.472,Cyclizar,18.571,Ursaluna-Bloodmoon,17.672,Palkia-Origin,17.519,Chi-Yu,17.117,Landorus,16.103,,
Ursaluna-Bloodmoon,2023-11,Zacian,41.976,Magearna,37.705,Palkia-Origin,32.469,Arceus-Fire,25.911,Palafin,22.765,Cyclizar,20.468,Arceus-Poison,19.769,Zamazenta-Crowned,17.860,Rillaboom,17.399,Spectrier,16.434,Dragapult,16.349,,
Arceus-Grass,2023-11,Magearna,63.623,Palafin,37.168,Zacian,35.450,Palkia-Origin,31.111,Chi-Yu,31.089,Cyclizar,24.050,Pelipper,21.014,Torkoal,16.267,Walking Wake,15.902,Volcarona,13.051,Landorus,10.535,,
Baxcalibur,2023-11,Magearna,44.305,Ninetales-Alola,39.706,Zacian,33.136,Cyclizar,27.201,Landorus,21.705,Chi-Yu,21.062,Espathra,20.964,Arceus-Fire,19.805,Volcarona,18.741,Palafin,18.029,Palkia-Origin,16.076,,
Garchomp,2023-11,Magearna,64.334,Zacian,50.322,Gholdengo,31.790,Dragapult,29.000,Dragonite,26.555,Cyclizar,20.015,Arceus-Fire,16.980,Palafin,16.887,Arceus-Poison,16.405,Volcarona,16.150,Palkia-Origin,14.670,,
Clefable,2023-11,Cyclizar,41.108,Magearna,25.975,Palafin,24.833,Palkia-Origin,22.880,Arceus-Dark,21.063,Arceus-Fire,19.276,Houndstone,17.789,Slowking-Galar,17.587,Ursaluna-Bloodmoon,13.455,Chi-Yu,13.165,Arceus-Poison,13.163,,
Houndstone,2023-11,Magearna,63.220,Cyclizar,37.701,Hippowdon,28.421,Palafin,27.470,Amoonguss,22.028,Landorus,20.963,Tyranitar,20.355,Zacian,20.059,Clefable,18.955,Dialga,18.902,Chi-Yu,18.329,,
Ninetales-Alola,2023-11,Baxcalibur,53.944,Magearna,44.561,Cyclizar,30.383,Espathra,29.818,Zacian,28.688,Volcarona,27.133,Arceus-Fire,23.299,Palkia-Origin,22.185,Ursaluna-Bloodmoon,17.772,Palafin,16.419,Chi-Yu,16.164,,
Arceus-Dark,2023-11,Magearna,39.857,Cyclizar,32.099,Zacian,28.947,Palkia-Origin,26.558,Slowking-Galar,25.893,Clefable,25.181,Dialga,21.274,Dragapult,17.569,Volcarona,16.962,Landorus,16.147,Ogerpon-Wellspring,15.415,,
Urshifu-Rapid-Strike,2023-11,Magearna,41.864,Zacian,37.211,Palkia-Origin,35.160,Arceus-Fire,24.710,Landorus,23.992,Palafin,19.872,Ursaluna-Bloodmoon,18.926,Chi-Yu,17.143,Arceus-Poison,16.582,Pelipper,15.743,Cyclizar,14.838,,
Urshifu,2023-11,Magearna,43.840,Zacian,38.645,Palkia-Origin,35.052,Arceus-Poison,31.207,Dialga,22.358,Spectrier,22.006,Landorus,21.929,Palafin,18.766,Arceus-Fire,17.289,Chi-Yu,15.552,Cyclizar,13.640,,
Ursaluna,2023-11,Magearna,89.995,Rillaboom,50.911,Dialga,50.502,Sneasler,29.830,Arceus-Fire,23.912,Arceus-Dragon,20.217,Cinderace,19.670,Hoopa-Unbound,18.846,Zamazenta,18.810,Donphan,18.796,Cresselia,18.297,,
Dragonite,2023-11,Magearna,62.697,Zacian,62.513,Dragapult,55.570,Garchomp,38.585,Gholdengo,36.563,Dialga,27.314,Arceus-Poison,18.975,Volcarona,18.011,Palkia-Origin,15.038,Cyclizar,14.262,Iron Valiant,8.953,,
