name,snapshot,teammate1,usage1,teammate2,usage2,teammate3,usage3,teammate4,usage4,teammate5,usage5,teammate6,usage6,teammate7,usage7,teammate8,usage8,teammate9,usage9,teammate10,usage10,teammate11,usage11,teammate12,usage12
Tinkaton,2022-12,Hydreigon,32.151,Talonflame,28.295,Slither Wing,22.450,Sandy Shocks,20.436,Tsareena,18.792,Quagsire,16.828,Slowking,13.836,Hatterene,13.257,Brambleghast,12.899,Armarouge,12.367,Gengar,11.829,,
Hydreigon,2022-12,Tinkaton,34.338,Azumarill,32.286,Grafaiai,30.330,Armarouge,29.172,Mimikyu,28.801,Iron Jugulis,23.767,Slither Wing,22.744,Sandy Shocks,17.162,Hatterene,14.775,Tsareena,14.111,Talonflame,13.595,,
Azumarill,2022-12,Mimikyu,40.912,Hydreigon,40.113,Armarouge,37.340,Grafaiai,31.290,Iron Jugulis,30.405,Gengar,18.421,Sandy Shocks,16.740,Espathra,15.421,Salamence,14.499,Rotom-Wash,10.888,Brute Bonnet,10.392,,
Armarouge,2022-12,Azumarill,40.213,Hydreigon,39.033,Mimikyu,37.960,Grafaiai,36.679,Iron Jugulis,34.426,Indeedee,20.548,Hawlucha,19.444,Tinkaton,17.673,Forretress,13.689,Gyarados,13.572,Bisharp,10.629,,
Sandy Shocks,2022-12,Talonflame,41.951,Slither Wing,36.382,Tinkaton,31.625,Slowking,29.440,Hydreigon,24.867,Tsareena,21.347,Azumarill,19.522,Mimikyu,16.915,Bisharp,16.696,Staraptor,13.658,Brute Bonnet,13.282,,
Slither Wing,2022-12,Sandy Shocks,36.433,Tinkaton,34.792,Hydreigon,33.001,Talonflame,30.059,Slowking,27.061,Gengar,15.992,Tsareena,14.472,Bisharp,12.530,Hatterene,11.890,Salamence,11.375,Forretress,11.010,,
Espathra,2022-12,Hydreigon,19.179,Azumarill,17.970,Tinkaton,17.926,Pawmot,14.787,Gengar,12.988,Lucario,12.801,Klefki,12.590,Gallade,12.341,Donphan,12.231,Cloyster,11.263,Rotom-Wash,11.092,,
Grafaiai,2022-12,Hydreigon,44.922,Mimikyu,41.704,Armarouge,40.603,Iron Jugulis,38.655,Azumarill,37.302,Tinkaton,17.430,Scream Tail,14.121,Rotom-Wash,13.978,Talonflame,11.098,Kilowattrel,10.109,Alomomola,9.161,,
Mimikyu,2022-12,Azumarill,51.520,Hydreigon,45.060,Armarouge,44.387,Grafaiai,44.052,Iron Jugulis,42.260,Kilowattrel,20.056,Sandy Shocks,18.264,Pelipper,14.652,Donphan,14.335,Floatzel,13.531,Rotom-Wash,12.371,,
Gengar,2022-12,Azumarill,23.365,Salamence,23.127,Donphan,22.164,Tinkaton,19.910,Hatterene,17.701,Slither Wing,17.368,Lucario,14.932,Talonflame,14.516,Espathra,14.136,Sandy Shocks,13.310,Bisharp,11.833,,
Talonflame,2022-12,Tinkaton,48.462,Sandy Shocks,46.430,Slither Wing,33.222,Quagsire,23.762,Slowking,23.147,Hydreigon,21.802,Tsareena,20.367,Alomomola,15.858,Blissey,14.948,Bisharp,14.790,Gengar,14.772,,
Hatterene,2022-12,Hydreigon,24.740,Tinkaton,23.709,Gengar,18.808,Quagsire,17.661,Donphan,15.068,Slither Wing,13.721,Tauros-Paldea-Water,12.658,Bisharp,12.583,Lucario,12.271,Espathra,11.766,Salamence,10.293,,
Donphan,2022-12,Gengar,25.991,Pelipper,20.419,Golduck,18.964,Floatzel,18.038,Kilowattrel,17.710,Mimikyu,16.932,Hatterene,16.630,Espathra,15.612,Salamence,13.746,Staraptor,13.281,Azumarill,13.048,,
Bisharp,2022-12,Sandy Shocks,23.224,Salamence,22.567,Talonflame,18.589,Slither Wing,17.404,Armarouge,16.010,Azumarill,15.206,Hatterene,15.145,Gengar,15.134,Espathra,14.664,Tinkaton,14.576,Hydreigon,14.556,,
Iron Jugulis,2022-12,Mimikyu,55.038,Grafaiai,53.178,Armarouge,52.427,Azumarill,49.867,Hydreigon,48.428,Iron Thorns,13.159,Brambleghast,12.127,Donphan,10.898,Pawmot,10.860,Tauros-Paldea-Water,9.949,Tinkaton,9.473,,
Rotom-Wash,2022-12,Staraptor,26.230,Scream Tail,23.931,Tinkaton,23.023,Grafaiai,20.884,Azumarill,19.393,Sandy Shocks,19.347,Mimikyu,17.499,Hippowdon,17.420,Espathra,16.953,Wo-Chien,15.885,Brute Bonnet,14.938,,
Salamence,2022-12,Gengar,32.982,Azumarill,26.227,Bisharp,25.164,Tinkaton,19.727,Slither Wing,17.619,Donphan,16.717,Espathra,16.480,Talonflame,15.232,Hatterene,13.815,Sandy Shocks,13.361,Lucario,12.415,,
Quagsire,2022-12,Tinkaton,41.446,Talonflame,34.169,Alomomola,26.519,Hatterene,24.323,Blissey,22.633,Hydreigon,19.114,Primeape,15.382,Scream Tail,12.326,Lucario,12.114,Slither Wing,11.939,Grafaiai,11.064,,
