Name,Gen,TypeOne,TypeTwo
Bulbasaur,5,Grass,Poison
Ivysaur,5,Grass,Poison
Venusaur,5,Grass,Poison
Charmander,5,Fire,
Charmeleon,5,Fire,
Charizard,5,Fire,Flying
Squirtle,5,Water,
Wartortle,5,Water,
Blastoise,5,Water,
Caterpie,5,Bug,
Metapod,5,Bug,
Butterfree,5,Bug,Flying
Weedle,5,Bug,Poison
Kakuna,5,Bug,Poison
Beedrill,5,Bug,Poison
Pidgey,5,Normal,Flying
Pidgeotto,5,Normal,Flying
Pidgeot,5,Normal,Flying
Rattata,5,Normal,
Raticate,5,Normal,
Spearow,5,Normal,Flying
Fearow,5,Normal,Flying
Ekans,5,Poison,
Arbok,5,Poison,
Pikachu,5,Electric,
Raichu,5,Electric,
Sandshrew,5,Ground,
Sandslash,5,Ground,
Nidoran-F,5,Poison,
Nidorina,5,Poison,
Nidoqueen,5,Poison,Ground
Nidoran-M,5,Poison,
Nidorino,5,Poison,
Nidoking,5,Poison,Ground
Clefairy,5,Normal,
Clefable,5,Normal,
Vulpix,5,Fire,
Ninetales,5,Fire,
Jigglypuff,5,Normal,
Wigglytuff,5,Normal,
Zubat,5,Poison,Flying
Golbat,5,Poison,Flying
Oddish,5,Grass,Poison
Gloom,5,Grass,Poison
Vileplume,5,Grass,Poison
Paras,5,Bug,Grass
Parasect,5,Bug,Grass
Venonat,5,Bug,Poison
Venomoth,5,Bug,Poison
Diglett,5,Ground,
Dugtrio,5,Ground,
Meowth,5,Normal,
Persian,5,Normal,
Psyduck,5,Water,
Golduck,5,Water,
Mankey,5,Fighting,
Primeape,5,Fighting,
Growlithe,5,Fire,
Arcanine,5,Fire,
Poliwag,5,Water,
Poliwhirl,5,Water,
Poliwrath,5,Water,Fighting
Abra,5,Psychic,
Kadabra,5,Psychic,
Alakazam,5,Psychic,
Machop,5,Fighting,
Machoke,5,Fighting,
Machamp,5,Fighting,
Bellsprout,5,Grass,Poison
Weepinbell,5,Grass,Poison
Victreebel,5,Grass,Poison
Tentacool,5,Water,Poison
Tentacruel,5,Water,Poison
Geodude,5,Rock,Ground
Graveler,5,Rock,Ground
Golem,5,Rock,Ground
Ponyta,5,Fire,
Rapidash,5,Fire,
Slowpoke,5,Water,Psychic
Slowbro,5,Water,Psychic
Magnemite,5,Electric,Steel
Magneton,5,Electric,Steel
Farfetch’d,5,Normal,Flying
Doduo,5,Normal,Flying
Dodrio,5,Normal,Flying
Seel,5,Water,
Dewgong,5,Water,Ice
Grimer,5,Poison,
Muk,5,Poison,
Shellder,5,Water,
Cloyster,5,Water,Ice
Gastly,5,Ghost,Poison
Haunter,5,Ghost,Poison
Gengar,5,Ghost,Poison
Onix,5,Rock,Ground
Drowzee,5,Psychic,
Hypno,5,Psychic,
Krabby,5,Water,
Kingler,5,Water,
Voltorb,5,Electric,
Electrode,5,Electric,
Exeggcute,5,Grass,Psychic
Exeggutor,5,Grass,Psychic
Cubone,5,Ground,
Marowak,5,Ground,
Hitmonlee,5,Fighting,
Hitmonchan,5,Fighting,
Lickitung,5,Normal,
Koffing,5,Poison,
Weezing,5,Poison,
Rhyhorn,5,Ground,Rock
Rhydon,5,Ground,Rock
Chansey,5,Normal,
Tangela,5,Grass,
Kangaskhan,5,Normal,
Horsea,5,Water,
Seadra,5,Water,
Goldeen,5,Water,
Seaking,5,Water,
Staryu,5,Water,
Starmie,5,Water,Psychic
Mr. Mime,5,Psychic,
Scyther,5,Bug,Flying
Jynx,5,Ice,Psychic
Electabuzz,5,Electric,
Magmar,5,Fire,
Pinsir,5,Bug,
Tauros,5,Normal,
Magikarp,5,Water,
Gyarados,5,Water,Flying
Lapras,5,Water,Ice
Ditto,5,Normal,
Eevee,5,Normal,
Vaporeon,5,Water,
Jolteon,5,Electric,
Flareon,5,Fire,
Porygon,5,Normal,
Omanyte,5,Rock,Water
Omastar,5,Rock,Water
Kabuto,5,Rock,Water
Kabutops,5,Rock,Water
Aerodactyl,5,Rock,Flying
Snorlax,5,Normal,
Articuno,5,Ice,Flying
Zapdos,5,Electric,Flying
Moltres,5,Fire,Flying
Dratini,5,Dragon,
Dragonair,5,Dragon,
Dragonite,5,Dragon,Flying
Mewtwo,5,Psychic,
Mew,5,Psychic,
Chikorita,5,Grass,
Bayleef,5,Grass,
Meganium,5,Grass,
Cyndaquil,5,Fire,
Quilava,5,Fire,
Typhlosion,5,Fire,
Totodile,5,Water,
Croconaw,5,Water,
Feraligatr,5,Water,
Sentret,5,Normal,
Furret,5,Normal,
Hoothoot,5,Normal,Flying
Noctowl,5,Normal,Flying
Ledyba,5,Bug,Flying
Ledian,5,Bug,Flying
Spinarak,5,Bug,Poison
Ariados,5,Bug,Poison
Crobat,5,Poison,Flying
Chinchou,5,Water,Electric
Lanturn,5,Water,Electric
Pichu,5,Electric,
